name_english,name_japanese,anime_manga_titles,favorites
Archer,(アーチャー),"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction', 'Fate/stay night', 'Fate/stay night: Comic Battle', 'Fate/stay night: Unlimited Blade Works']",9878
"Tomori, Nao",(友利 奈緒),"['Charlotte', 'Charlotte: Tsuyoimono-tachi', 'Charlotte the 4-koma: Seishun wo Kakenukero!', 'Charlotte']",9853
"Yuzuriha, Inori",(楪 いのり),"['Guilty Crown', 'Guilty Crown: Kiseki - Reassortment', 'Guilty Crown: 4-koma Gekijou', 'Guilty Crown']",9816
"Kuroko, Tetsuya",(黒子 テツヤ),"['Kuroko no Basket', 'Kuroko no Basket NG-shuu', 'Kuroko no Basket 2nd Season', 'Kuroko no Basket', 'Kuroko no Basket: Replace', 'Kuroko no Basket: Extra Game']",9811
"Komi, Shouko",(古見 硝子),"['Komi-san wa, Comyushou desu.', 'Komi-san wa, Comyushou desu. 2nd Season', 'Komi-san wa Comyushou desu.', 'Komi-san wa, Comyushou desu.']",9788
"Suou, Tamaki",(須王 環),"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",9781
Meliodas,(メリオダス),"['Nanatsu no Taizai', 'Nanatsu no Taizai OVA', 'Nanatsu no Taizai: Seisen no Shirushi', 'Nanatsu no Taizai', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Mayoe! Nanatsu no Taizai Gakuen!']",9758
"Nakahara, Chuuya",(中原 中也),"['Bungou Stray Dogs', 'Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Hitori Ayumu', 'Bungou Stray Dogs: Dazai, Chuuya, Juugosai', 'Bungou Stray Dogs', 'Bungou Stray Dogs Wan!']",9733
"Iwatani, Naofumi",(岩谷 尚文),"['Tate no Yuusha no Nariagari', 'Tate no Yuusha no Nariagari Season 2', 'Tate no Yuusha no Nariagari Season 3', 'Tate no Yuusha no Nariagari', 'Tate no Yuusha no Nariagari', 'Yari no Yuusha no Yarinaoshi']",9691
"Tsukishima, Kei",(月島 蛍),"['Haikyuu!!', 'Haikyuu!! Lev Genzan!', 'Haikyuu!! Second Season', 'Haikyuu!!', 'Haikyuu!!']",9658
"Kiriyama, Rei",(桐山 零),"['3-gatsu no Lion', '3-gatsu no Lion Recap', '3-gatsu no Lion 2nd Season', '3-gatsu no Lion']",9581
All Might,(オール・マイト),"['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Hero Note', 'Boku no Hero Academia', 'Boku no Hero Academia Smash!', 'Boku no Hero Academia: All Might:Rising']",9529
"Joestar, Johnny",(ジョニィ・ジョースター),"['JoJo no Kimyou na Bouken Part 7: Steel Ball Run', 'JoJo no Kimyou na Bouken Part 8: JoJolion']",9520
"Lucilfer, Chrollo",(クロロ＝ルシルフル),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island', 'Hunter x Hunter']",9471
"Hitsugaya, Toushirou",(日番谷 冬獅郎),"['Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru', 'Bleach', 'Bleach: The Sealed Sword Frenzy', 'Bleach', 'Bleach: The Honey Dish Rhapsody', 'Bleach 4-koma: Komaburi']",9466
"Cifer, Ulquiorra",(ウルキオラ・シファ),"['Bleach', 'Bleach Movie 4: Jigoku-hen', 'Bleach: Sennen Kessen-hen - Ketsubetsu-tan', 'Bleach Unmasked Short Stories', 'Bleach', 'Bleach: The Unforgivens']",9364
"Aomine, Daiki",(青峰 大輝),"['Kuroko no Basket: Mou Ikkai Yarimasen ka', 'Kuroko no Basket: Oshaberi Demo Shimasen ka', 'Kuroko no Basket: Saikou no Present desu', 'Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus', 'Kuroko no Basket']",9311
"Grimmer, Wolfgang",(ヴォルフガンググリマー),"['Monster', 'Monster']",9293
"Asada, Shino",(朝田 詩乃),"['Sword Art Online II', 'Sword Art Online II: Debriefing', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online', 'Sword Art Online: Phantom Bullet', 'Sword Art Online: Calibur']",9292
"Yuigahama, Yui",(由比ヶ浜 結衣),"['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.']",9240
Hanako-kun,(花子くん),"['Jibaku Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun 2nd Season', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun 0']",9211
"Horikita, Suzune",(堀北 鈴音),"['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: √Horikita', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e']",9196
"Chitanda, Eru",(千反田 える),"['Hyouka', 'Hyouka: Motsubeki Mono wa', 'Koten-bu Series', 'Hyouka']",9143
"Braun, Reiner",(ライナー・ブラウン),"['Shingeki no Kyojin', 'Shingeki no Kyojin OVA', 'Shingeki no Kyojin: Ano Hi Kara', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",9118
Pain,(ペイン),"['Naruto', 'Naruto: Shippuuden', 'Naruto x UT', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden']",9098
"Greyrat, Rudeus",(ルーデウス・グレイラット),"['Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei: Isekai Ittara Honki Dasu Part 2', 'Mushoku Tensei II: Isekai Ittara Honki Dasu', 'Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei: 4-koma ni Nattemo Honki Dasu']",9079
"Valentine, Faye",(フェイ・バレンタイン),"['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues', 'Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",9078
"Nagato, Yuki",(長門 有希),"['Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi no Yuuutsu (2009)', 'Suzumiya Haruhi-chan no Yuuutsu', 'Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi no Yuuutsu', 'Suzumiya Haruhi Series']",9067
"Katsura, Kotarou",(桂 小太郎),"['Gintama Movie 1: Shinyaku Benizakura-hen', 'Gintama: Dai Hanseikai', 'Gintama.', 'Gintama', 'Gintama: 3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",8989
"Son, Hak",(ソン・ハク),"['Akatsuki no Yona', 'Akatsuki no Yona OVA', 'Akatsuki no Yona']",8973
"Hayakawa, Aki",(早川 アキ),"['Chainsaw Man', 'Chainsaw Man Movie: Reze-hen', 'Chainsaw Man', 'Chainsaw Man: Buddy Stories']",8922
"Nagisa, Kaworu",(渚 カヲル),"['Evangelion Movie 3: Q', 'Sakura Nagashi', 'Shinseiki Evangelion', 'Shinseiki Evangelion: Gakuen Datenroku', 'Shinseiki Evangelion: Ikari Shinji Tantei Nikki', 'Shinseiki Evangelion: Pikopiko Chuugakusei Densetsu']",8888
"Kuchiki, Rukia",(朽木 ルキア),"['Bleach', 'Bleach: Memories in the Rain', 'Bleach: The Sealed Sword Frenzy', 'Bleach', 'Bleach', 'Bleach: Letters From the Other Side']",8873
"Kuroki, Tomoko",(黒木 智子),"['Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!', 'Watashi no Tomodachi ga Motenai no wa Dou Kangaetemo Omaera ga Warui.', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! Anthology']",8834
"Zenin, Maki",(禪院 真希),"['Jujutsu Kaisen 0 Movie', 'Jujutsu Kaisen', 'Jujutsu Kaisen 2nd Season', 'Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou', 'Jujutsu Kaisen Bangai-hen', 'Jujutsu Kaisen']",8779
Elaina,(イレイナ),"['Majo no Tabitabi', 'Majo no Tabitabi', 'Majo no Tabitabi', 'Riviere to Inori no Kuni']",8745
"Hiiragi, Shinoa",(柊 シノア),"['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End', 'Owari no Seraph', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",8705
"Yang, Wen-li",(ヤン・ウェンリー),"['Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture', 'Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu: Eiyuu-tachi no Shouzou']",8672
"Kuriyama, Mirai",(栗山 未来),"['Kyoto Animation: Megane-hen', 'Kyoukai no Kanata', 'Kyoukai no Kanata: Mini Gekijou', 'Kyoukai no Kanata']",8665
"Shiba, Tatsuya",(司波 達也),"['Mahouka Koukou no Rettousei', 'Yoku Wakaru Mahouka!', 'Yoku Wakaru Mahouka! - Saiseitte Nani?', 'Mahouka Koukou no Rettousei: Nyuugaku-hen', 'Mahouka Koukou no Rettousei', 'Mahouka Koukou no Yuutousei']",8626
"Iino, Miko",(伊井野 ミコ),"['Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wo Kataritai']",8607
"Onodera, Punpun",(小野寺 プンプン),['Oyasumi Punpun'],8565
"Inoue, Takina",(井ノ上 たきな),"['Lycoris Recoil', 'Lycoris Recoil', 'Lycoris Recoil: Ordinary Days', 'Lycoris Recoil: Recollect']",8544
"Arima, Kousei",(有馬 公生),"['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Moments', 'Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: 6-nin no Études', 'Shigatsu wa Kimi no Uso: Coda']",8312
Rider,(ライダー),"['Fate/Zero Remix', 'Fate/Zero', 'Fate/Zero 2nd Season', 'Fate/Zero', 'Fate/Zero', 'Sensha Otoko: A True Tank Story']",8295
Ray,(レイ),"['Yakusoku no Neverland', 'Yakusoku no Neverland 2nd Season', 'Yakusoku no Neverland: Michishirube', 'Yakusoku no Neverland', 'Oyakusoku no Neverland', 'Yakusoku no Neverland: Tokubetsu Bangai-hen - Hajimari no Isshi']",8272
Albedo,(アルベド),"['Overlord', 'Overlord: Ple Ple Pleiades', 'Overlord Movie 1: Fushisha no Ou', 'Overlord', 'Overlord']",8241
"Hijikata, Toushirou",(土方 十四郎),"['Gintama: Dai Hanseikai', 'Gintama: Yorinuki Gintama-san on Theater 2D', 'Gintama on Theater 2D: Baragaki-hen', 'Gintama: 3-nen Z-gumi Ginpachi-sensei', 'Gintama', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",8181
"Kaname, Madoka",(鹿目 まどか),"['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica: Anthology Comic']",8131
"Uchiha, Obito",(うちは オビト),"['Naruto: Shippuuden', 'Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden', 'Gekijouban Naruto: Shippuuden - Hi no Ishi wo Tsugu Mono']",8102
"Itou, Kaiji",(伊藤開司),"['Gyakkyou Burai Kaiji: Ultimate Survivor', 'Gyakkyou Burai Kaiji: Hakairoku-hen', 'Chuukan Kanriroku Tonegawa', 'Tobaku Mokushiroku Kaiji', 'Tobaku Hakairoku Kaiji', 'Tobaku Datenroku Kaiji']",8064
"Urameshi, Yuusuke",(浦飯 幽助),"['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho (Movie)', 'Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna', 'Yuu☆Yuu☆Hakusho']",8022
"Sakuragi, Hanamichi",(桜木 花道),"['Slam Dunk', 'Slam Dunk (Movie)', 'Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi', 'Slam Dunk']",8015
Yona,(ヨナ),"['Akatsuki no Yona', 'Akatsuki no Yona OVA', 'Akatsuki no Yona']",8009
"Shiota, Nagisa",(潮田 渚),"['Ansatsu Kyoushitsu: Jump Festa 2013 Special', 'Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu: Deai no Jikan', 'Ansatsu Kyoushitsu', 'Koro-sensei Q!']",8005
"Shirogane, Miyuki",(白銀 御行),"['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",7957
"Kuujou, Jolyne",(空条 徐倫),"['JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2', 'JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3', 'JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'Jolyne, Gucci de Tobu', 'Fujiko no Kimyou na Shoseijutsu: Whitesnake no Gosan']",7929
"Nouzen, Shinei",(シンエイ・ノウゼン),"['86', '86 Part 2', '86 Special Edition: Senya ni Akaku Hinageshi no Saku', '86', '86', '86: Operation High School']",7904
"Kagenou, Cid",(シド・カゲノー),"['Kage no Jitsuryokusha ni Naritakute!', 'Kage no Jitsuryokusha ni Naritakute! 2nd Season', 'Ple Ple Pleiades × Kagejitsu!', 'Kage no Jitsuryokusha ni Naritakute!', 'Kage no Jitsuryokusha ni Naritakute!', 'Kage no Jitsuryokusha ni Naritakute!: Shadow Gaiden']",7857
"Makunouchi, Ippo",(幕之内 一歩),"['Hajime no Ippo', 'Hajime no Ippo: Champion Road', 'Hajime no Ippo: New Challenger', 'Hajime no Ippo', 'Magazine Ohanami!!']",7850
"Hyakuya, Mikaela",(百夜 ミカエラ),"['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End', 'Owari no Seraph', 'Owari no Seraph: Kyuuketsuki Mikaela no Monogatari', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",7835
"Heartfilia, Lucy",(ルーシィ・ハートフィリア),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail', 'Fairy Tail+', 'Fairy Girls']",7808
"Kuronuma, Sawako",(黒沼 爽子),"['Kimi ni Todoke', 'Kimi ni Todoke 2nd Season', 'Kimi ni Todoke: Kataomoi', 'Kimi ni Todoke', 'Kimi ni Todoke', 'Kimi ni Todoke Bangai-hen: Unmei no Hito']",7807
"Hyoudou, Issei",(兵藤一誠),"['High School DxD', 'High School DxD OVA', 'High School DxD Specials', 'High School DxD', 'High School DxD', 'Shin High School DxD']",7797
Legoshi,(レゴシ),"['Beastars', 'Beastars 2nd Season', 'Kaibutsu', 'Beastars', 'Beast Complex']",7791
"Aizawa, Shouta",(相澤 消太),"['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!', 'Boku no Hero Academia Smash!', 'Boku no Hero Academia', 'Vigilante: Boku no Hero Academia Illegals']",7743
"Inumaki, Toge",(狗巻 棘),"['Jujutsu Kaisen 0 Movie', 'Jujutsu Kaisen', 'Jujutsu Kaisen 2nd Season', 'Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou', 'Jujutsu Kaisen Bangai-hen', 'Jujutsu Kaisen']",7730
Garou,(ガロウ),"['One Punch Man', 'One Punch Man 2nd Season', 'One Punch Man 2nd Season Specials', 'One Punch-Man']",7722
"Katsuragi, Keima",(桂木 桂馬),"['Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai II', 'Kami nomi zo Shiru Sekai: Tenri-hen', 'Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai: On the Train+Pilot Films']",7691
"Fullbuster, Gray",(グレイ・フルバスター),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail', 'Tale of Fairy Tail: Ice Trail', 'Fairy Tail: 100 Years Quest']",7666
"Miyamizu, Mitsuha",(宮水 三葉),"['Kimi no Na wa.', 'Suntory Minami Alps no Tennensui', 'Kimi no Na wa.', 'Kimi no Na wa. Another Side: Earthbound', 'Kimi no Na wa. Another Side: Earthbound']",7659
Escanor,(エスカノール),"['Nanatsu no Taizai: Kamigami no Gekirin', 'Nanatsu no Taizai: Funnu no Shinpan', 'Gekidan Nanatsu no Taizai', 'Nanatsu no Taizai: Bangai-henshuu ""Genzai""', 'Nanatsu no Taizai']",7643
"Edogawa, Ranpo",(江戸川 乱歩),"['Bungou Stray Dogs', 'Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Hitori Ayumu', 'Bungou Stray Dogs', 'Bungou Stray Dogs Wan!', 'Bungou Stray Dogs']",7638
"Giovanna, Giorno",(ジョルノ・ジョバァーナ),"['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",7557
"Kiryuuin, Satsuki",(鬼龍院 皐月),"['Kill la Kill', 'Kill la Kill Specials', 'Kill la Kill']",7554
"Misaki, Mei",(見崎 鳴),"['Another', 'Another: The Other - Inga', 'Another: Misaki Mei - Shizukani', 'Another', 'Another', 'Another: Episode S']",7553
"Kishibe, Rohan",(岸辺 露伴),"['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan wa Ugokanai', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan Louvre e Iku', ""The Book: JoJo's Bizarre Adventure 4th Another Day""]",7529
"Nishikigi, Chisato",(錦木 千束),"['Lycoris Recoil', 'Lycoris Recoil', 'Lycoris Recoil: Ordinary Days', 'Lycoris Recoil: Recollect']",7439
"Bokuto, Koutarou",(木兎 光太郎),"['Haikyuu!! Second Season', 'Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou', 'Haikyuu!! vs. ""Akaten""', 'Haikyuu!!']",7417
"Hachikuji, Mayoi",(八九寺 真宵),"['Bakemonogatari', 'Bakemonogatari Recap', 'Monogatari Series: Second Season', 'Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",7405
Hyakkimaru,(百鬼丸),"['Dororo to Hyakkimaru', 'Dororo Pilot', 'Dororo', 'Dororo', 'Dororo to Hyakkimaru Den', 'Dororo to Enma-kun']",7380
"Edogawa, Conan",(江戸川 コナン),"['Meitantei Conan', 'Meitantei Conan Movie 01: Tokei Jikake no Matenrou', 'Meitantei Conan Movie 02: 14-banme no Target', 'Meitantei Conan', 'Detective Conan Tokubetsu-hen', 'Meitantei Conan']",7318
Tatsumaki,(戦慄のタツマキ),"['One Punch Man', 'One Punch Man Specials', 'One Punch Man 2nd Season', 'One Punch-Man']",7287
"Komaeda, Nagito",(狛枝 凪斗),"['Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen', 'Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono', 'Danganronpa 3: Monokuma Gekijou', 'Super Danganronpa 2: Nanami Chiaki no Sayonara Zetsubou Daibouken', 'Super Danganronpa 2: Sayonara Zetsubou Gakuen - 4-koma KINGS', 'Super Danganronpa 2: Chou Koukou-kyuu no Kouun to Kibou to Zetsubou']",7263
"Haruhara, Haruko",(ハルハラ・ハル子),"['FLCL', 'FLCL Progressive', 'FLCL Alternative', 'FLCL', 'FLCL']",7226
Inuyasha,(犬夜叉),"['InuYasha', 'InuYasha Movie 4: Guren no Houraijima', 'InuYasha Movie 2: Kagami no Naka no Mugenjou', 'InuYasha', '3.11 wo Wasurenai Tame ni Heroes Comeback', 'Iden Ehon Zoushi: Hanyou no Yashahime']",7225
"Fujioka, Haruhi",(藤岡 ハルヒ),"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",7198
"Paladiknight, Leorio",(レオリオ=パラディナｲﾄ),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter Pilot', 'Hunter x Hunter']",7159
Shana,(シャナ),"['Shakugan no Shana', 'Shakugan no Shana-tan', 'Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!', 'Shakugan no Shana', 'Shakugan no Shana', 'Shakugan no Shana: Reshuffle']",7157
"Kirstein, Jean",(ジャン・キルシュタイン),"['Shingeki no Kyojin OVA', 'Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",7156
"Takamura, Mamoru",(鷹村 守),"['Hajime no Ippo', 'Hajime no Ippo: New Challenger', 'Hajime no Ippo: Boxer no Kobushi', 'Hajime no Ippo']",7140
"Kiryuu, Zero",(錐生 零),"['Vampire Knight', 'Vampire Knight Guilty', 'Vampire Knight', 'Vampire Knight: Ice Blue no Tsumi', 'Vampire Knight: Noir no Wana']",7113
"Mankanshoku, Mako",(満艦飾 マコ),"['Kill la Kill', 'Kill la Kill Specials', 'Kill la Kill']",7095
"Hoshino, Ai",(星野 アイ),"['""Oshi no Ko""', 'Idol', '""Oshi no Ko"" Season 2', '""Oshi no Ko""']",7067
Sesshoumaru,(殺生丸),"['InuYasha Movie 3: Tenka Hadou no Ken', 'InuYasha: Kuroi Tessaiga', 'InuYasha', 'InuYasha', '3.11 wo Wasurenai Tame ni Heroes Comeback', 'Iden Ehon Zoushi: Hanyou no Yashahime']",7062
"Nagatoro, Hayase",(長瀞 早瀬),"['Ijiranaide, Nagatoro-san', 'Ijiranaide, Nagatoro-san 2nd Attack', 'Ijiranaide, Nagatoro-san 2nd Attack Mini Anime', 'Ijiranaide, Nagatoro-san', 'Ijiranaide, Nagatoro-san: Comic Anthology']",6990
"Ayuzawa, Misaki",(鮎沢 美咲),"['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Omake da yo!', 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥', 'Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Marriage']",6972
"Bucciarati, Bruno",(ブローノ・ブチャラティ),"['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",6951
"Nikiforov, Victor",(ヴィクトル・ニキフォロフ),"['Yuri!!! on Ice', 'Yuri!!! on Ice The Movie: Ice Adolescence PV']",6860
"Nakano, Azusa",(中野 梓),"['K-On!', 'K-On!: Live House!', 'K-On!: Ura-On!', 'K-On!', 'K-On! Anthology Comic', 'K-On! Highschool']",6831
"Kuchiki, Byakuya",(朽木 白哉),"['Bleach', 'Bleach: The Sealed Sword Frenzy', 'Bleach Movie 1: Memories of Nobody', 'Bleach: The Honey Dish Rhapsody', 'Bleach', 'Bleach 4-koma: Komaburi']",6748
"Gokou, Ruri",(五更 瑠璃),"['Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai.', 'Ore no Kouhai ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai: Kuroneko If', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai']",6743
"Charlotte, Katakuri",(シャーロット・カタクリ),"['One Piece', 'One Piece Film: Red', 'One Piece']",6729
"Son, Gohan",(孫 悟飯),"['Dragon Ball Z', 'Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!', 'Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu', 'Dragon Ball', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!', 'Dragon Ball SD']",6724
"Kuroo, Tetsurou",(黒尾 鉄朗),"['Haikyuu!! Riku vs. Kuu', 'Haikyuu!!', 'Haikyuu!! Lev Genzan!', 'Haikyuu!!', 'Haikyuu!! Bangai-hen: Nobuyuki Kai no Akumu']",6723
Lucy,(ルーシー),['Cyberpunk: Edgerunners'],6697
"Okkotsu, Yuuta",(乙骨 憂太),"['Jujutsu Kaisen 0 Movie', 'Jujutsu Kaisen 2nd Season', 'Jujutsu Kaisen 2nd Season Recaps', 'Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou', 'Jujutsu Kaisen Bangai-hen', 'Jujutsu Kaisen']",6680
"Emiya, Shirou",(衛宮 士郎),"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction', 'Fate/stay night', 'Fate/stay night: Comic Battle', 'Fate/hollow ataraxia']",6649
Isla,(アイラ),['Plastic Memories'],6628
"Tsunemori, Akane",(常守 朱),"['Psycho-Pass', 'Psycho-Pass Movie', 'Psycho-Pass 2', 'Kanshikan Tsunemori Akane', 'Psycho-Pass', 'Psycho-Pass 2']",6557
"Akashi, Seijuurou",(赤司 征十郎),"['Kuroko no Basket: Saikou no Present desu', 'Kuroko no Basket Movie 4: Last Game', 'Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou', 'Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus', 'Kuroko no Basket']",6523
"Sturluson, Celty",(セルティ・ストゥルルソン),"['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou', 'Durarara!!', 'Durarara!!', 'Durarara!! Saika-hen']",6512
"Kotobuki, Tsumugi",(琴吹 紬),"['K-On!', 'K-On!: Live House!', 'K-On!: Ura-On!', 'K-On!', 'K-On! Anthology Comic', 'K-On! College']",6490
