name_english,name_japanese,anime_manga_titles,favorites
Rem,(レム),"['Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie', 'Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow Announcement', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen']",45009
"Joestar, Joseph",(ジョセフ・ジョースター),"['JoJo no Kimyou na Bouken: Adventure', 'JoJo no Kimyou na Bouken', 'JoJo no Kimyou na Bouken (TV)', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu', 'JoJo no Kimyou na Bouken']",41129
Megumin,(めぐみん),"['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! 2', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!']",41008
"Senjougahara, Hitagi",(戦場ヶ原 ひたぎ),"['Bakemonogatari', 'Bakemonogatari Recap', 'Monogatari Series: Second Season', 'Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",40414
"Kirigaya, Kazuto",(桐ヶ谷 和人),"['Sword Art Online', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Extra Edition', 'Sword Art Online', 'Sword Art Online: Aincrad', 'Sword Art Online: Material Edition']",40316
Yato,(夜ト),"['Noragami', 'Noragami OVA', 'Noragami Aragoto', 'Noragami', 'Noragami: Shuuishuu', 'Noragami: Awase Kagami']",39450
"Sakurajima, Mai",(桜島 麻衣),"['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Seishun Buta Yarou wa Odekake Sister no Yume wo Minai', 'Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai']",37916
"Mustang, Roy",(ロイ・マスタング),"['Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: The Sacred Star of Milos Specials', 'Fullmetal Alchemist', 'Fullmetal Alchemist', 'Fullmetal Alchemist']",37240
"Reigen, Arataka",(霊幻 新隆),"['Mob Psycho 100', 'Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha', 'Mob Psycho Mini', 'Mob Psycho 100', 'Reigen: Reikyuuchi Max 131 no Otoko']",37225
Zero Two,(ゼロツー),"['Darling in the FranXX', 'Darling in the FranXX', 'Darling in the FranXX!']",37042
"Evergarden, Violet",(ヴァイオレット・エヴァーガーデン),"['Violet Evergarden', 'Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou', 'Violet Evergarden Movie', 'Violet Evergarden', 'Violet Evergarden Gaiden', 'Violet Evergarden Ever After']",36466
"Ayanokouji, Kiyotaka",(綾小路 清隆),"['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: √Horikita']",35881
"Dazai, Osamu",(太宰 治),"['Bungou Stray Dogs', 'Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Dead Apple', 'Bungou Stray Dogs', 'Bungou Stray Dogs Wan!', 'Bungou Stray Dogs']",35437
"Morow, Hisoka",(ヒソカ・モロウ),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island', 'Hunter x Hunter']",35298
"Kurosaki, Ichigo",(黒崎 一護),"['Bleach', 'Bleach: Memories in the Rain', 'Bleach: The Sealed Sword Frenzy', 'Bleach', 'Bleach', 'Bleach: Letters From the Other Side']",33970
Kamina,(カミナ),"['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!', 'Tengen Toppa Gurren Lagann Movie 1: Gurren-hen', 'Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Gurren Gakuen-hen', 'Tengen Toppa Gurren Lagann 4-koma Kingdom: Yoko no Oheso-hen']",33106
"Oshino, Shinobu",(忍野 忍),"['Kizumonogatari I: Tekketsu-hen', 'Nisemonogatari', 'Monogatari Series: Second Season', 'Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Monogatari Series: Final Season']",32608
Saber,(セイバー),"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction', 'Fate/stay night', 'Take Moon', 'Fate/Zero']",32048
"Onizuka, Eikichi",(鬼塚 英吉),"['Great Teacher Onizuka', 'Shonan Junai Gumi!', 'Great Teacher Onizuka Recaps', 'GTO', 'Bad Company', 'Shonan Junai Gumi!']",31940
"Aisaka, Taiga",(逢坂 大河),"['Toradora!', 'Toradora!: SOS! Kuishinbou Banbanzai', 'Toradora!: Bentou no Gokui', 'Toradora!', 'Toradora!', 'Toradora Spin-off!']",31874
Sanji,(サンジ),"['One Piece', 'One Piece Movie 02: Nejimaki-jima no Daibouken', 'One Piece Movie 03: Chinjuu-jima no Chopper Oukoku', 'One Piece', 'Cross Epoch', 'One Piece: Mugiwara Daigekijou']",31389
"Yuuki, Asuna",(結城 明日奈 / アスナ),"['Sword Art Online', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Extra Edition', 'Sword Art Online', 'Sword Art Online: Aincrad', 'Sword Art Online: Material Edition']",29407
"Gasai, Yuno",(我妻 由乃),"['Mirai Nikki', 'Mirai Nikki (TV)', 'Mirai Nikki: Redial', 'Mirai Nikki', 'Mirai Nikki: Redial', 'Mirai Nikki']",29081
"Uchiha, Sasuke",(うちは サスケ),"['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!', 'Naruto', 'Naruto: Shiro no Douji, Keppu no Kijin', 'Naruto: Takigakure no Shitou Ore ga Hero dattebayo!']",29003
"Araragi, Koyomi",(阿良々木 暦),"['Bakemonogatari', 'Bakemonogatari Recap', 'Kizumonogatari I: Tekketsu-hen', 'Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",28906
Makima,(マキマ),"['Chainsaw Man', 'Chainsaw Man Movie: Reze-hen', 'Chainsaw Man', 'Chainsaw Man: Buddy Stories']",28790
Holo,(ホロ),"['Ookami to Koushinryou', 'Ookami to Koushinryou II', 'Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu', 'Ookami to Koushinryou', 'Ookami to Koushinryou', 'Shinsetsu Ookami to Koushinryou: Ookami to Youhishi']",28727
Ichigo,(イチゴ),"['Darling in the FranXX', 'Darling in the FranXX', 'Darling in the FranXX!']",28718
Alucard,(アーカード),"['Hellsing', 'Hellsing Ultimate', 'Hellsing: Digest for Freaks', 'Hellsing', 'Hellsing: The Dawn', 'Hellsing']",28568
"Nakano, Itsuki",(中野 五月),"['5-toubun no Hanayome', '5-toubun no Hanayome ∬', '5-toubun no Hanayome Movie', '5-toubun no Hanayome', '5-toubun no Hanayome', 'Anime 5-toubun no Hanayome Novelize']",28070
"Son, Gokuu",(孫 悟空),"['Dragon Ball', 'Dragon Ball GT', 'Dragon Ball Movie 1: Shen Long no Densetsu', 'Dragon Ball', 'Cross Epoch', 'Jump Super Stars']",28015
"Souryuu, Asuka Langley",(惣流・アスカ・ラングレー),"['Shinseiki Evangelion', 'Shinseiki Evangelion Movie: Shi to Shinsei', 'Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni', 'Shinseiki Evangelion', 'Shinseiki Evangelion: Koutetsu no Girlfriend 2nd', 'Shinseiki Evangelion: Ikari Shinji Ikusei Keikaku']",27964
Thorfinn,(トルフィン),"['Vinland Saga', 'Vinland Saga Season 2', 'Vinland Saga Season 2: Drowning in the Shadow', 'Vinland Saga', ""Assassin's Creed Valhalla x Vinland Saga""]",27817
Askeladd,(アシェラッド),"['Vinland Saga', 'Vinland Saga Season 2', 'Vinland Saga', ""Assassin's Creed Valhalla x Vinland Saga""]",26936
"Smith, Erwin",(エルヴィン・スミス),"['Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin', 'Shingeki no Kyojin OVA', 'Shingeki no Kyojin: Kuinaki Sentaku', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou']",26744
C.C.,(シー・ツー),"['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Recaps', 'Code Geass: Hangyaku no Lelouch R2', 'Code Geass: Hangyaku no Lelouch', 'Chibi Geass: 4-koma no Lelouch', 'Code Geass: Hangyaku no Lelouch']",26520
"Shinomiya, Kaguya",(四宮 かぐや),"['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Shuuchiin Gakuen Nanafushigi']",25981
